,Unnamed: 0,textnr,tokenindex,token,polarity_score,sentiment
0,1,1,1,Samuel,0.0,Neutral
1,2,1,2,"Morse,",0.0,Neutral
2,3,1,3,best,0.6369,Positive
3,4,1,4,known,0.0,Neutral
4,5,1,5,today,0.0,Neutral
5,6,1,6,as,0.0,Neutral
6,7,1,7,the,0.0,Neutral
7,8,1,8,inventor,0.0,Neutral
8,9,1,9,of,0.0,Neutral
9,10,1,10,Morse,0.0,Neutral
10,11,1,11,Code,0.0,Neutral
11,12,1,12,and,0.0,Neutral
12,13,1,13,one,0.0,Neutral
13,14,1,14,of,0.0,Neutral
14,15,1,15,the,0.0,Neutral
15,16,1,16,inventors,0.0,Neutral
16,17,1,17,of,0.0,Neutral
17,18,1,18,the,0.0,Neutral
18,19,1,19,"telegraph,",0.0,Neutral
19,20,1,20,was,0.0,Neutral
20,21,1,21,originally,0.0,Neutral
21,22,1,22,a,0.0,Neutral
22,23,1,23,prominent,0.3182,Positive
23,24,1,24,painter.,0.0,Neutral
24,25,1,25,While,0.0,Neutral
25,26,1,26,he,0.0,Neutral
26,27,1,27,was,0.0,Neutral
27,28,1,28,always,0.0,Neutral
28,29,1,29,interested,0.4019,Positive
29,30,1,30,in,0.0,Neutral
30,31,1,31,technology,0.0,Neutral
31,32,1,32,and,0.0,Neutral
32,33,1,33,studied,0.0,Neutral
33,34,1,34,electrical,0.0,Neutral
34,35,1,35,engineering,0.0,Neutral
35,36,1,36,in,0.0,Neutral
36,37,1,37,"college,",0.0,Neutral
37,38,1,38,Morse,0.0,Neutral
38,39,1,39,went,0.0,Neutral
39,40,1,40,to,0.0,Neutral
40,41,1,41,Paris,0.0,Neutral
41,42,1,42,to,0.0,Neutral
42,43,1,43,learn,0.0,Neutral
43,44,1,44,from,0.0,Neutral
44,45,1,45,famous,0.0,Neutral
45,46,1,46,artists,0.0,Neutral
46,47,1,47,of,0.0,Neutral
47,48,1,48,his,0.0,Neutral
48,49,1,49,day,0.0,Neutral
49,50,1,50,and,0.0,Neutral
50,51,1,51,later,0.0,Neutral
51,52,1,52,painted,0.0,Neutral
52,53,1,53,many,0.0,Neutral
53,54,1,54,pictures,0.0,Neutral
54,55,1,55,that,0.0,Neutral
55,56,1,56,now,0.0,Neutral
56,57,1,57,hang,0.0,Neutral
57,58,1,58,in,0.0,Neutral
58,59,1,59,"museums,",0.0,Neutral
59,60,1,60,including,0.0,Neutral
60,61,1,61,a,0.0,Neutral
61,62,1,62,portrait,0.0,Neutral
62,63,1,63,of,0.0,Neutral
63,64,1,64,former,0.0,Neutral
64,65,1,65,President,0.0,Neutral
65,66,1,66,John,0.0,Neutral
66,67,1,67,Adams.,0.0,Neutral
67,68,1,68,In,0.0,Neutral
68,69,1,69,"1825,",0.0,Neutral
69,70,1,70,Morse,0.0,Neutral
70,71,1,71,was,0.0,Neutral
71,72,1,72,in,0.0,Neutral
72,73,1,73,"Washington,",0.0,Neutral
73,74,1,74,"D.C.,",0.0,Neutral
74,75,1,75,painting,0.0,Neutral
75,76,1,76,a,0.0,Neutral
76,77,1,77,portrait,0.0,Neutral
77,78,1,78,of,0.0,Neutral
78,79,1,79,the,0.0,Neutral
79,80,1,80,Marquis,0.0,Neutral
80,81,1,81,de,0.0,Neutral
81,82,1,82,Lafayette,0.0,Neutral
82,83,1,83,when,0.0,Neutral
83,84,1,84,a,0.0,Neutral
84,85,1,85,messenger,0.0,Neutral
85,86,1,86,arrived,0.0,Neutral
86,87,1,87,on,0.0,Neutral
87,88,1,88,horseback,0.0,Neutral
88,89,1,89,to,0.0,Neutral
89,90,1,90,tell,0.0,Neutral
90,91,1,91,him,0.0,Neutral
91,92,1,92,that,0.0,Neutral
92,93,1,93,his,0.0,Neutral
93,94,1,94,wife,0.0,Neutral
94,95,1,95,was,0.0,Neutral
95,96,1,96,gravely,-0.3612,Negative
96,97,1,97,ill,-0.4215,Negative
97,98,1,98,back,0.0,Neutral
98,99,1,99,at,0.0,Neutral
99,100,1,100,his,0.0,Neutral
100,101,1,101,home,0.0,Neutral
101,102,1,102,in,0.0,Neutral
102,103,1,103,Connecticut.,0.0,Neutral
103,104,1,104,The,0.0,Neutral
104,105,1,105,message,0.0,Neutral
105,106,1,106,had,0.0,Neutral
106,107,1,107,taken,0.0,Neutral
107,108,1,108,several,0.0,Neutral
108,109,1,109,days,0.0,Neutral
109,110,1,110,to,0.0,Neutral
110,111,1,111,reach,0.0258,Neutral
111,112,1,112,him,0.0,Neutral
112,113,1,113,because,0.0,Neutral
113,114,1,114,of,0.0,Neutral
114,115,1,115,the,0.0,Neutral
115,116,1,116,distance.,0.0,Neutral
116,117,1,117,Morse,0.0,Neutral
117,118,1,118,rushed,0.0,Neutral
118,119,1,119,to,0.0,Neutral
119,120,1,120,his,0.0,Neutral
120,121,1,121,home,0.0,Neutral
121,122,1,122,as,0.0,Neutral
122,123,1,123,fast,0.0,Neutral
123,124,1,124,as,0.0,Neutral
124,125,1,125,he,0.0,Neutral
125,126,1,126,"could,",0.0,Neutral
126,127,1,127,but,0.0,Neutral
127,128,1,128,his,0.0,Neutral
128,129,1,129,wife,0.0,Neutral
129,130,1,130,had,0.0,Neutral
130,131,1,131,already,0.0,Neutral
131,132,1,132,passed,0.0,Neutral
132,133,1,133,away,0.0,Neutral
133,134,1,134,by,0.0,Neutral
134,135,1,135,the,0.0,Neutral
135,136,1,136,time,0.0,Neutral
136,137,1,137,he,0.0,Neutral
137,138,1,138,arrived.,0.0,Neutral
138,139,1,139,Grief-,-0.4939,Negative
139,140,1,140,"stricken,",-0.5106,Negative
140,141,1,141,he,0.0,Neutral
141,142,1,142,gave,0.0,Neutral
142,143,1,143,up,0.0,Neutral
143,144,1,144,painting,0.0,Neutral
144,145,1,145,and,0.0,Neutral
145,146,1,146,devoted,0.4019,Positive
146,147,1,147,the,0.0,Neutral
147,148,1,148,rest,0.0,Neutral
148,149,1,149,of,0.0,Neutral
149,150,1,150,his,0.0,Neutral
150,151,1,151,life,0.0,Neutral
151,152,1,152,to,0.0,Neutral
152,153,1,153,finding,0.0,Neutral
153,154,1,154,ways,0.0,Neutral
154,155,1,155,to,0.0,Neutral
155,156,1,156,transmit,0.0,Neutral
156,157,1,157,messages,0.0,Neutral
157,158,1,158,over,0.0,Neutral
158,159,1,159,long,0.0,Neutral
159,160,1,160,distances,0.0,Neutral
160,161,1,161,faster.,0.0,Neutral
